Token will not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid (permission: read).
Your token has been saved to /exports/eddie/scratch/s1808795/.cache/huggingface/token
Login successful
Loading the dataset in streaming mode
The character to token ratio of the dataset is: 3.79
{'loss': 1.7166, 'learning_rate': 1e-05, 'epoch': 0.02}
{'loss': 1.75, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 1.7704, 'learning_rate': 3e-05, 'epoch': 0.06}
{'loss': 1.7179, 'learning_rate': 4e-05, 'epoch': 0.08}
{'loss': 1.6575, 'learning_rate': 5e-05, 'epoch': 0.1}
{'loss': 1.6372, 'learning_rate': 6e-05, 'epoch': 0.12}
{'loss': 1.5621, 'learning_rate': 7e-05, 'epoch': 0.14}
{'loss': 1.5365, 'learning_rate': 8e-05, 'epoch': 0.16}
{'loss': 1.5408, 'learning_rate': 9e-05, 'epoch': 0.18}
{'loss': 1.5093, 'learning_rate': 0.0001, 'epoch': 0.2}
{'loss': 1.5243, 'learning_rate': 9.98458666866564e-05, 'epoch': 0.22}
{'loss': 1.4842, 'learning_rate': 9.938441702975689e-05, 'epoch': 0.24}
{'loss': 1.5067, 'learning_rate': 9.861849601988383e-05, 'epoch': 0.26}
{'loss': 1.4641, 'learning_rate': 9.755282581475769e-05, 'epoch': 0.28}
{'loss': 1.4279, 'learning_rate': 9.619397662556435e-05, 'epoch': 0.3}
{'loss': 1.4872, 'learning_rate': 9.45503262094184e-05, 'epoch': 0.32}
{'loss': 1.4476, 'learning_rate': 9.263200821770461e-05, 'epoch': 0.34}
{'loss': 1.4695, 'learning_rate': 9.045084971874738e-05, 'epoch': 0.36}
{'loss': 1.4951, 'learning_rate': 8.802029828000156e-05, 'epoch': 0.38}
{'loss': 1.4823, 'learning_rate': 8.535533905932738e-05, 'epoch': 0.4}
{'loss': 1.4757, 'learning_rate': 8.247240241650918e-05, 'epoch': 0.42}
{'loss': 1.4748, 'learning_rate': 7.938926261462366e-05, 'epoch': 0.44}
{'loss': 1.45, 'learning_rate': 7.612492823579745e-05, 'epoch': 0.46}
{'loss': 1.4601, 'learning_rate': 7.269952498697734e-05, 'epoch': 0.48}
{'loss': 1.4433, 'learning_rate': 6.91341716182545e-05, 'epoch': 0.5}
{'loss': 1.4358, 'learning_rate': 6.545084971874738e-05, 'epoch': 0.52}
